,price,resid_z,p_value,flag_conformal,flag_isoforest,flag_lof,votes,severity,flag
2022-09-19,144.8800048828125,-0.2499613652174295,0.7562154696132597,0,0,0,0,0,0
2022-09-20,145.94000244140625,0.9218534028705495,0.2891649413388544,0,0,0,0,0,0
2022-09-21,143.2899932861328,0.21545512712335504,0.7813793103448275,0,0,0,0,0,0
2022-09-22,138.7100067138672,-1.104083434626299,0.2191592005513439,0,0,0,0,0,0
2022-09-23,131.25999450683594,-1.287322349215354,0.16115702479338842,0,0,0,0,0,0
2022-09-26,127.33999633789062,-0.6327620678969033,0.45354439091534754,0,0,0,0,0,0
2022-09-27,127.51000213623047,0.274758843914927,0.7269601100412655,0,0,0,0,0,0
2022-09-28,133.44000244140625,0.8358881068961477,0.32714776632302406,0,0,0,0,0,0
2022-09-29,125.33000183105469,-1.300206830578335,0.15865384615384615,0,0,0,0,0,0
2022-09-30,121.08000183105469,-0.6268474583841733,0.456417295813315,0,0,0,0,0,0
2022-10-03,126.05000305175781,0.1191315023808232,0.8799725651577504,0,0,0,0,0,0
2022-10-04,133.50999450683594,0.6611807897198142,0.43728581220013707,0,0,0,0,0,0
2022-10-05,132.11000061035156,-0.12540568707920616,0.876027397260274,0,0,0,0,0,0
2022-10-06,132.1999969482422,0.8365563637461498,0.3258042436687201,0,0,0,0,0,0
2022-10-07,129.7899932861328,0.7133040721891142,0.39466484268125857,0,0,0,0,0,0
2022-10-10,131.89999389648438,1.0303316093383932,0.24880382775119617,0,0,0,0,0,0
2022-10-11,131.57000732421875,0.21167188972500453,0.7855191256830601,0,0,0,0,0,0
2022-10-12,130.4199981689453,0.19427412330373917,0.8075085324232082,0,0,0,0,0,0
2022-10-13,132.39999389648438,-0.9667738573052075,0.27148703956343795,0,0,0,0,0,0
2022-10-14,133.14999389648438,1.985087133367718,0.06952965235173825,0,0,0,0,0,0
2022-10-17,136.08999633789062,-0.6061715596420489,0.46934604904632155,0,0,0,0,0,0
2022-10-18,137.33999633789062,-0.7039531794422146,0.4016337644656229,0,0,0,0,0,0
2022-10-19,138.38999938964844,0.6987147311748338,0.40680272108843535,0,0,0,0,0,0
2022-10-20,139.1300048828125,0.6567247373968803,0.44391570360299115,0,0,0,0,0,0
2022-10-21,141.32000732421875,-0.7690690065938457,0.35597826086956524,0,0,0,0,0,0
2022-10-24,142.0500030517578,-0.44324486114629635,0.5919891378139851,0,0,0,0,0,0
2022-10-25,146.64999389648438,0.6998121244798912,0.4056987788331072,0,0,0,0,0,0
2022-10-26,133.7899932861328,-4.14010702554006,0.010847457627118645,0,0,1,1,1,0
2022-10-27,139.75999450683594,2.1374244628660715,0.05894308943089431,0,0,0,0,0,0
2022-10-28,143.83999633789062,-0.268859570844961,0.7366283006093433,0,0,0,0,0,0
2022-10-31,142.50999450683594,0.02953861570047593,0.969553450608931,0,0,0,0,0,0
2022-11-01,143.3800048828125,0.45457106952329407,0.5841784989858012,0,0,0,0,0,0
2022-11-02,147.41000366210938,2.659545287221121,0.038513513513513516,0,0,0,0,0,0
2022-11-03,156.75,3.107592307434659,0.022957461174881837,0,0,0,0,0,0
2022-11-04,160.00999450683594,0.18987354272054813,0.8130904183535762,0,0,0,0,0,0
2022-11-07,164.91000366210938,0.6634736002153773,0.43695212407282535,0,0,0,0,0,0
2022-11-08,169.6199951171875,0.8922440492315825,0.3032345013477089,0,0,0,0,0,0
2022-11-09,168.74000549316406,0.9210490494327364,0.29023569023569024,0,0,0,0,0,0
2022-11-10,177.5800018310547,-0.6187103423910679,0.4636608344549125,0,0,0,0,0,0
2022-11-11,177.49000549316406,0.15836429746976938,0.8433086751849361,0,0,0,0,0,0
